market,store,base,platform,outcome,sealed_products,in_stock,collections,detail
AU,88 Games Arena,https://www.88gamesarena.com.au,shopify,too-few,0,0,,
AU,Ace Collectibles,https://acecollectibles.com.au,shopify,listed,24,8,all-products-pokemon booster-box,
AU,Area52 Hobart,https://singles.area52.com.au,shopify,too-few,0,0,,
AU,Aussie Hobbies,https://www.aussiehobbies.com.au,shopify,listed,4,4,pokemon,
AU,Brokenvase Games,https://brokenvase.games,shopify,too-few,0,0,,
AU,Card Traders Australia,https://cardtradersaustralia.com.au,shopify,too-few,2,2,pokemon-go-20 pokemon-go-25,
AU,Card Tribe Australia,https://cardtribe.com.au,shopify,listed,21,0,pokemon-trading-cards,
AU,Cardbot,https://cardbot.com.au,shopify,listed,7,4,pokemon master-pokemon-list pokemon-tcg-scarlet-violet-temporal-forces,
AU,Cherry Collectables,https://www.cherrycollectables.com.au,shopify,listed,94,36,pokemon all-pokemon,
AU,Collectible Madness,https://collectiblemadness.com.au,shopify,listed,238,6,pokemon-tcg-collection-boxes pokemon-collection-tins pokemon-booster-boxes pokemon-booster-packs,
AU,Collectors Colosseum,https://www.collectorscolosseum.online,shopify,listed,144,35,pokemon-1 pokemon,
AU,Dragon Loot,https://dragonloot.au,woocommerce,listed,4,1,pokemon-etb-2 pokemon-booster-box pokemon-collectors-box-2,
AU,Drop Store,https://dropstore.com.au,shopify,listed,64,53,pokemon-tcg,
AU,Elemental Arcade,https://elementalarcade.com.au,shopify,too-few,1,1,pokemon-tcg-sealed-product,
AU,Fabled Games,https://fabledgames.store,shopify,listed,253,6,pokemon-tcg,
AU,Fluke & Box,https://www.flukeandbox.com,shopify,listed,37,6,pokemon,
AU,GameForce,https://gameforce.com.au,,no-feed,0,0,,no public Shopify or WooCommerce feed
AU,Gameology,https://www.gameology.com.au,shopify,listed,390,325,pokemon,
AU,Gamerholic,https://gamerholic.com.au,shopify,listed,23,7,pokemon-booster-boxes pokemon-booster-packs pokemon-collection-boxes pokemon-tins,
AU,Gametraders SouthPoint,https://gametraderssouthpoint.com.au,shopify,too-few,2,0,pokemon-trading-card,
AU,GAP Games,https://www.gapgames.com.au,shopify,listed,6,0,pokemon-tcg,
AU,GD Games,https://www.gdgames.com.au,shopify,too-few,0,0,,
AU,General Games Chirnside Park,https://generalgames.com.au,shopify,too-few,0,0,,
AU,Good Games,https://www.goodgames.com.au,shopify,listed,528,9,pokemon,
AU,Good Games Adelaide,https://ggadelaide.com.au,shopify,too-few,0,0,,
AU,Good Games TCG,https://tcg.goodgames.com.au,shopify,listed,18,0,pokemon,
AU,Grailborne,https://grailborne.com.au,shopify,listed,142,130,pokemon-tcg,
AU,Guf,https://guf.com.au,shopify,listed,4,1,pokemon-vivid-voltage pokemon-151 pokemon-lost-origin,
AU,Hero Stash,https://herostash.com.au,shopify,too-few,2,2,pokemon-tcg-sealed,
AU,Hobby Collectors Australia,https://hobbycollectorsaustralia.com.au,shopify,listed,244,9,pokemon-sealed-1 all-pokemon-products,
AU,Hobbymaster,https://www.hobbymaster.com.au,,no-feed,0,0,,no public Shopify or WooCommerce feed
AU,HOKO Collectables,https://www.hokocollectables.com,shopify,too-few,0,0,,
AU,Inn Games,https://inngames.com.au,shopify,too-few,0,0,,
AU,Irresistible Force TCG,https://tcg.irresistibleforce.com.au,shopify,listed,30,0,pokemon-classic pokemon-2022 pokemon-2020,
AU,Jamie's Trading Cards,https://jamiestradingcards.com.au,shopify,listed,4,0,pre-order,
AU,Just Card Stuff,https://justcardstuff.com.au,shopify,listed,14,8,pokemon-tcg,
AU,Kawaii Collector,https://kawaiicollector.com.au,shopify,listed,83,3,pokemon-sealed-products,
AU,Kollecter,https://www.kollecter.com.au,shopify,listed,117,2,pokemon-tcg-collection-boxes pokemon-tcg-elite-trainer-boxes pokemon-tcg-booster-box-1 pokemon-tcg-checklane-blisters,
AU,Light of Cards,https://lightofcards.com.au,shopify,listed,115,12,ptcg-en pokemon,
AU,Lilley's Arena,https://lilleysarena.com.au,woocommerce,listed,12,0,pokemon-tin-2 pokemon-151-scarlet-and-violet,
AU,Loot Vault,https://lootvault.au,shopify,listed,77,0,pokemon-tcg,
AU,Low Pop Trading Co,https://www.lowpop.com.au,shopify,listed,83,76,pokemon pokemon-sealed,
AU,Mana Market,https://manamarket.com.au,shopify,listed,211,68,pokemon-sealed ebay-pokemon,
AU,Melbemon Trading Cards,https://www.melbemon.com.au,shopify,listed,90,20,pokemon pokemon-tcg-box-sets,
AU,Metro Hobbies,https://www.metrohobbies.com.au,shopify,listed,11,2,pokemon,
AU,Mint Collectables,https://mintcollectables.com.au,shopify,too-few,0,0,,
AU,Monster Mart,https://www.monstermart.com.au,shopify,too-few,0,0,,
AU,More Than Meeples,https://morethanmeeples.com.au,woocommerce,listed,206,11,pokemon-collection-boxes pokemon-tins pokemon-booster-packs pokemon-elite-trainer-boxes,
AU,Northern Beaches Pokemon,https://northernbeachespokemon.com.au,woocommerce,too-few,0,0,,
AU,Obsession Gaming,https://obsessiongaming.com.au,shopify,listed,34,11,pokemon-boosters pokemon-starter-decks,
AU,One Stop Poke Mart,https://onestoppokemart.com.au,shopify,listed,46,0,pokemon-sword-shield-booster-boxes pokemon-xy-packs pokemon-sun-moon-packs pokemon-xy-booster-boxes,
AU,One Stop Poke Shop,https://onestoppokeshop.com.au,shopify,listed,51,17,pokemon-booster-boxes pokemon-booster-bundles pokemon-tcg,
AU,Overhauled Games,https://overhauledgames.com.au,woocommerce,listed,76,39,pokemon-elite-trainer-boxes pokemon-blister-packs pokemon-booster-packs pokemon-booster-boxes,
AU,Ozzie Collectables,https://www.ozziecollectables.com,shopify,listed,16,12,pokemon-box-set pokemon-cards manufacturer-pokemon,
AU,Plenty of Games,https://plenty-of-games-au.myshopify.com,shopify,listed,188,1,pokemon-all tcg-sealed,
AU,PokéBox,https://www.pokebox.com.au,shopify,listed,368,48,english-sealed-pokemon-trading-cards english-pokemon-tcg-tins,
AU,Pokemon World Australia,https://www.pokemonworldaustralia.com,shopify,listed,52,6,elite-trainer-boxes pokemon-center-exclusive-elite-trainer-box booster-boxes booster-packs,
AU,PokeSource,https://pokesource.com.au,shopify,listed,164,143,pokemon-under-100 pokemon-over-500 elite-trainer-boxes booster-bundles,
AU,PokeTrader,https://www.poketrader.com.au,shopify,listed,25,16,booster-boxes elite-trainer-boxes pokemon-tcg-pitch-black,
AU,Pro Gamers & Collectables,https://progamers.com.au,shopify,listed,199,5,pokemon-sealed-booster-boxes pokemon-pikachu,
AU,Purplish TCG,https://purplishtcg.com,shopify,listed,18,0,pokemon-english-booster-boxes,
AU,Quack Opens,https://www.quackopens.com.au,shopify,listed,39,4,pokemon,
AU,Raptor Games,https://raptorgames.com,shopify,listed,275,19,pokemon-trading-card-game new-arrivals,
AU,Reefside Games,https://reefsidegames.com.au,shopify,listed,8,4,pokemon-tcg-pitch-black pokemon-perfect-order pokemon-tcg-30th-celebration pokemon-chaos-rising,
AU,Shuffle n Cut Melbourne,https://shuffleandcutgames.com,shopify,too-few,0,0,,
AU,Spellroo Gaming,https://spellroogaming.com.au,shopify,listed,72,27,pokemon-tcg-english-sealed,
AU,Spindown,https://spindown.com.au,shopify,too-few,0,0,,
AU,TC Game,https://tcgame.com.au,shopify,listed,3,0,pokemon-booster-boxes-and-packs,
AU,TCG Collectors Australia,https://tcgcollectors.com.au,woocommerce,wrong-currency,0,0,,"charges ?, market AU is AUD"
AU,TCG Singles Australia,https://tcgsingles.com.au,shopify,too-few,0,0,,
AU,TCG Vault,https://tcgvault.com.au,woocommerce,too-few,0,0,,
AU,TCGANT,https://www.pokemoncardsperth.com.au,shopify,too-few,0,0,,
AU,TCGroup Australia,https://www.tcgroupau.com.au,shopify,listed,203,3,english-pokemon-collection-box english-pokemon-single-packs english-pokemon-elite-trainer-box english-pokemon-booster-box,
AU,The Adventurers Guild,https://www.theadventurersguild.com.au,shopify,listed,8,1,pokemon-display pokemon-mega-evolution-perfect-order pokemon,
AU,The Card Cave,https://thecardcave.com.au,shopify,listed,249,1,pokemon-sealed pokemon-tin,
AU,The Card Hub Australia,https://thecardhubaustralia.com.au,shopify,listed,126,2,pokemon-go elite-trainer-box pokemon pokemon-sealed,
AU,The Card Spot,https://thecardspot.com.au,shopify,listed,10,9,booster-box,
AU,The Final Boss Collectables,https://thefinalbosscollectables.com.au,shopify,listed,15,0,english-pokemon-boxes-and-packs,
AU,The Games Capital,https://www.thegamescapital.com.au,shopify,listed,528,9,pokemon,
AU,The Games District,https://thegamesdistrict.com,shopify,too-few,0,0,,
AU,The Vault,https://the-vault-au.com,shopify,listed,14,13,pokemon,
AU,The Wandering Collector,https://thewanderingcollector.com.au,shopify,listed,154,88,pokemon-tcg-sealed-products,
AU,Trading Card Masters,https://www.tradingcardmasters.com.au,shopify,too-few,0,0,,
AU,Treasure Vault,https://treasurevaultau.com,shopify,listed,63,36,pokemon,
AU,Troll Aus Melbourne,https://trollaustraliamelb.com.au,shopify,listed,137,73,pokemon-sealed pokemon,
AU,Troll Australia,https://www.trollaustralia.com.au,shopify,listed,202,117,pokemon-sealed pokemon-cards,
AU,Turn Order Games,https://turnordergames.com.au,shopify,too-few,1,1,pokemon-trading-card-game,
AU,Urban Empire Collectables,https://urbanempirecollectables.com,shopify,listed,4,4,pokemon-1,
AU,Vault Games,https://vaultgames.com.au,shopify,too-few,0,0,,
CA,401 Games,https://store.401games.ca,shopify,listed,771,215,pokemon-sealed-product pokemon-box-sets-tins pokemon-booster-packs pokemon-booster-boxes,
CA,A & C Games,https://acgamesonline.com,shopify,listed,319,296,pokemon-trading-card-game-tcg-sealed-product pokemon-151 best-sellers-pokemon pokemon-lost-origin,
CA,Alt F4,https://altf4online.com,shopify,too-few,2,2,pokemon-sealed-products,
CA,Always Games,https://alwaysgames.ca,shopify,too-few,2,1,pre-orders,
CA,Anime Alley,https://animealley.ca,shopify,listed,27,26,pokemon-sealed in-stock-pokemon,
CA,Banana Games & Hobby,https://bananagames.ca,shopify,listed,801,192,pokemon-sealed-english-new-menu pokemon-re-ment,
CA,Battleground Games,https://battlegroundgames.ca,shopify,listed,27,3,pokemon,
CA,Bento Gaming,https://bentogaming.com,shopify,listed,72,3,pokemon-tcg-scarlet-violet pokemon-english-mega-evolutions,
CA,Black Rose Hobbies,https://blackrosehobbies.com,shopify,listed,61,56,pokemon-sealed sealed pokemon,
CA,Blakestoise TCG,https://blakestoise.myshopify.com,shopify,listed,177,171,pokemon-sealed,
CA,Boutique Hobby Expert,https://hobbyexpert.ca,shopify,listed,29,25,pokemon-sealed-products pokemon-french-sealed-products,
CA,Boutique L'Artefact,https://boutiqueartefact.com,shopify,too-few,0,0,,
CA,Card Brawlers,https://cardbrawlers.com,shopify,listed,212,14,pokemon preorders,
CA,Card Dynasty,https://carddynasty.ca,shopify,listed,410,188,pokemon-sealed pokemon-pre-orders,
CA,Card Legends TCG,https://www.cardlegendstcg.com,shopify,listed,59,31,pokemon-english-sealed,
CA,Cardera,https://carderaco.com,shopify,listed,129,129,pokemon-sealed,
CA,Cartes Sportives Rive Sud,https://cartessportivesrivesud.com,shopify,listed,273,47,all-pokemon,
CA,Celly Sports & Games,https://www.cellysports.com,shopify,listed,24,9,pokemon-upcoming-releases pokemon-cards,
CA,Chonky Collectibles,https://chonkycollectibles.com,shopify,listed,44,11,pokemon-booster-blister-packs pokemon-collection-boxes pokemon pokemon-blister-packs,
CA,Comfy Hobbies,https://comfyhobbies.com,shopify,listed,380,73,pokemon-sealed-products pokemon-elite-trainer-box pokemon-center-etb pokemon-pre-order,
CA,Common Box Games,https://commonboxgames.com,shopify,listed,38,7,pokemon-variety-product pokemon-sealed,
CA,Danireon Cards & Games,https://www.danireon.com,,rate-limited,0,0,,rate limited (429 from www.danireon.com)
CA,Deck Out Gaming,https://deckoutgaming.ca,shopify,listed,705,186,pokemon-english-sealed pokemon-pack-bundles pokemon-sealed pokemon-tin,
CA,Derpy Cards,https://derpycards.ca,shopify,listed,678,99,pokemon preorders etb pokemon-prismatic-evolutions-sv8-5,
CA,Does Cards,https://doescards.ca,shopify,too-few,0,0,,
CA,EA Collectibles,https://eacollectibles.com,shopify,listed,752,139,pokemon-collection-boxes pokemon-elite-trainer-boxes pokemon-booster-boxes pokemon-packs,
CA,Eclipse Games,https://eclipsegames.ca,shopify,listed,23,20,pokemon-sealed,
CA,Elite Cards Toronto,https://elitecardstoronto.com,shopify,listed,68,63,pokemon,
CA,Empire Trading,https://www.empiretradings.com,shopify,listed,25,15,tcg-sealed-products pokemon-sealed-products pre-orders,
CA,Enter the Battlefield,https://enterthebattlefield.ca,shopify,listed,32,32,pokemon-sealed inv-pkmn,
CA,Esper Cards & Games,https://shop.espercardsandgames.com,shopify,listed,13,3,pokemon pokemon-30th-celebration,
CA,Everything Games,https://everythinggames.ca,shopify,listed,36,36,sealed-pokemon,
CA,Face to Face Games,https://facetofacegames.com,shopify,listed,605,45,pokemon-sealed pokemon-instant-collections,
CA,Flaring Lair,https://flaringlair.com,shopify,listed,237,39,pokemon-collection-boxes pokemon-blister-packs pokemon-tins pokemon-english-booster-boxes,
CA,Fresh Brewed Games Ltd.,https://freshbrewed.games,shopify,listed,8,5,pokemon,
CA,Fusion Gaming,https://fusiongamingonline.com,shopify,listed,9,7,pokemon-all-sealed pokemon-shinies pokemon-shinies-in-stock,
CA,Game 3 TCG & Hobby,https://game3.ca,shopify,listed,450,12,pokemon-sealed-pricing-test pokemon-sealed-product,
CA,Game Time Collectibles,https://itsgametime.ca,shopify,listed,635,2,pokemon-sealed-all pokemon-figurine,
CA,GameTime/TempsDuJeu,https://game-time.ca,shopify,listed,206,54,pokemon-tin pokemon-1 pokemon-elite-trainer-box-etb pokemon-copie,
CA,Gobelin d'Argent - Silver Goblin,https://silvergoblin.cards,shopify,listed,163,5,pokemon-tcg-collections pokemon-tcg-booster-boxes pokemon-tcg-blister-packs pokemon-tcg-elite-trainer-boxes,
CA,GT Games,https://gtgames.ca,shopify,listed,342,41,pokemon pokemon-sealed,
